编号,企业名称,职位描述
77688,焦点科技,岗位/描述/：/在/这里/有/能力/就/可以/任性/，/有/才华/就/可以/挥洒/体验/上市/互联网/公司/的/工作/氛围/与/各路/大神/切磋/学习/获取/最佳雇主/企业/的/工作/体验/比/别人/更/快/一步/锁定/面试/机会/来/吧/，/你/就是/焦点/！/岗位职责/：/1/、/多渠道/整理/、/挖掘/企业/客户/信息/，/为/客户/提供/专业/行业/信息/咨询服务/；/2/、/发掘/客户/需求/，/为/客户/提供/适配/的/产品/推广/服务/，/弘扬/中国/制造/；/3/、/通过/主动/积极/的/售后服务/，/关注/客户/成效/和/客户/满意度/，/提供/续约/或/升级/方案/。/工作/时间/：/8/:/30/-/17/:/30/;/周末/双休/；/不/强制/加班/，/节假日/跟着/国家/走/；/薪资/福利/：/底薪/5500/+/提成/+/工龄/奖/+/高温/补贴/+/年终奖/等/工作/内容/：/1/、/推广/中国/制造/网/这个/网站/平台/，/邀请/做/外贸/的/企业/进驻/平台/，/在/平台/上/推广/产品/。/2/、/推广/搭建/企业/官网/，/并/在/谷歌/上/进行/SEO/，/SEM推广/。/3/、/推广/客户/管理软件/CRM系统/。/岗位/要求/：/1/、/本科/及/以上学历/，/优秀/的/本科/应届生/亦可/考虑/；/2/、/有/良好/的/沟通/表达能力/、/分析/能力/、/学习/能力/和/销售/技能/；/3/、/对/销售/工作/有/强烈/的/兴趣/和/自信心/，/希望/通过/销售/实现/自我/价值/。/4/、/有过/B2B/或者/外贸/销售/经验/的/，/优先/考虑/全方位/保障/：/1/、/【/六险/一金/】/按/国家/规定/比率/及/实际收入/为/你/缴纳/养老保险/、/医疗保险/、/工伤保险/、/失业/保险/和/生育/保险/及/住房/公积金/，/并/每年/额外/购买/商业保险/；/2/、/【/员工/活动/】/丰富多彩/的/员工/活动/和/运动/俱乐部/、/国内外/旅游/、/团队/Party/等/；/3/、/【/培训/成长/】/入职/培训/—/—/进阶/培训/—/—/职场/加油站/—/—/储备/管理/培养/4/、/【/晋升/发展/】/管理/路线/：/客户经理/—/高级/客户经理/—/销售主管/—/区域经理/—/销售部/经理/专业/路线/：/客户经理/—/高级/客户经理/—/顾问级/客户经理/—/专家级/客户经理/5/、/每天/都/会/有/定时/的/下午茶
13768,上海映蝶影视文化有限公司,一/、/岗位/核心/目标/负责/公司/的/日常/财务/核算/、/账务/处理/、/税务/申报/及/财务报表/编制/等/工作/，/确保/财务数据/的/准确性/与/合规性/，/为/公司/的/经营/管理/提供/可靠/的/财务/支持/。/二/、/岗位职责/1/、/会计核算/与/报表/编制/：/负责/审核/原始凭证/，/编制/记账/凭证/，/登记/各类/明细账/及/总账/。/定期/编制/财务报表/（/如/资产/负债表/、/利润表/、/现金流量/表等/）/，/并/进行/基本/的/财务/分析/。/2/、/税务/管理/：/严格执行/税法/规定/，/准确/计算/增值税/、/企业/所得税/等/各项/税费/，/按时/完成/纳税/申报/。/负责/发票/的/认证/、/申购/和/保管/工作/。/3/、/资产/与/成本/管理/：/参与/固定资产/的/核算/与/管理/，/计提/折旧/，/协助/进行/财产清查/。/负责/或/参与/成本核算/，/编制/成本/报表/，/并/进行/基础/分析/。/4/、/档案管理/与/审计/配合/：/负责/会计凭证/、/账簿/、/报表/等/会计/资料/的/整理/、/归档/和/保管/工作/。/协助/完成/年度/内外部/审计工作/，/提供/所/需/资料/。/5/、/负责/部门/安排/的/其他/工作/。/三/、/任职/要求/1/、/财务/、/会计/、/审计/或/相关/专业本科/及/以上学历/。/2/、/持有/初级/会计职称/证书/；/持有/中级/会计职称/或/注册/会计师/（/CPA/）/资格者/优先/考虑/。/3/、/具备/3/年/以上/财务会计/相关/工作/经验/，/熟悉/财务/核算/全/流程/。/4/、/熟练掌握/国家/财务/、/税务/法规/政策/。/熟练/使用/金蝶/、/用友/等/财务软件/及/Office/办公/软件/（/尤其/Excel/）/。/5/、/工作/细致/严谨/，/责任心/强/，/具备/良好/的/沟通/能力/、/团队/合作/精神/和/职业道德/。
13648,云南中钛科技有限公司,岗位职责/：/1/、/了解/选矿/工艺流程/，/了解/各种/选矿/设备/。/2/、/协助/机械/工程师/制定/相关/制度/和/流程/；/3/、/协助/日常/技术指标/的/管理工作/，/学习/解决/生产/过程/中/的/设备/技术/问题/，/为/生产/提供/合理化/建议/；/5/、/协助/选矿/工艺设备/的/调试/，/相关/报告/的/编制/；/6/、/协助/各/岗位/选矿/专业/技术培训/和/操作规程/培训/，/提升/员工/操作技能/，/确保/设备/安全/平稳/运行/。/7/、/完成/公司/领导/交办/的/其它/工作/任务/。/任职/条件/：/1/、/20/-/28/岁/，/统招/本科/及/以上学历/；/2/、/机械工程/相关/专业/；/3/、/具备/良好/的/心理素质/，/团队/工作/能力/强/；/4/、/能/适应/矿山/工作/环境/。
15296,武汉世纪华通汽车部件有限公司,【/工作/内容/】/1/、/员工/招聘/：/负责/一线/员工/招聘/、/面试/、/入职/培训/与/录用/工作/。/2/、/新/员工/工作/跟进/：/负责/员工/入职/、/进入/用人/部门/工作/动态/跟踪/，/以及/技能/提升/和/转正/工作/的/跟进/。/3/、/考勤/管理/：/根据/公司/《/考勤/管理制度/》/，/负责/各/部门/考勤/管理/、/协调/工作/。/4/、/工资/计算/：/负责/核算/员工/计件工资/和/计时工资/。/5/、/行政/固定资产/管理/：/负责/公司/办公设备/（/桌椅/）/、/电脑/及/打印机/、/传真机/、/复印机/、/扫描仪/以及/公司/网络/等/软硬件/的/购置/。/6/、/保洁/：/负责/保洁工/的/管理/，/做好/清洁卫生/工作/。/7/、/工服/管理/：/负责/员工/的/季节性/工服/采购/、/发放/、/回收/工作/。/8/、/员工/离职/办理/：/负责/公司员工/离职/手续/办理/，/了解/并/分析/员工/离职/原因/。/9/、/体系/资料/维护/：/负责/部门/涉及/IATF16949/，/安环/审核/资料/的/整理/和/更新/工作/。/10/、/Ehr/系统/操作/：/日常/操作/检查/公司/Ehr/系统/，/更新/员工/名册/。/11/、/门禁系统/录入/管理/：/定期/更新/门禁/权限/及/员工/厂牌/录入/管理/。/12/、/协助/部门/其他/人员/工作/，/完成/临时/交办/工作/。/【/任职/要求/】/1/、/专科/及/以上学历/，/人力/资源管理/或/相关/专业/优先/；/2/、/二年/以上/制造业/人事行政/相关/工作/经历/。/3/、/工作/有/激情/、/热情/，/有/较/强/的/吃苦/能力/和/奉献精神/；/4/、/责任心/强/，/敢于/承担责任/；/5/、/有/人力/资源管理师/初级/证书/优先/。
29050,浙江东海新材料科技股份有限公司,【/工作/内容/】/-/负责/公司/全盘/账务/处理/，/包括/凭证/录入/、/账簿/登记/及/月度/结账/；/-/编制/财务报表/，/确保/数据/准确性/和/合规性/；/-/协助/完成/税务/申报/及/发票/管理/相关/工作/；/-/配合/审计/、/税务/检查/等/外部/事务/，/提供/相关/财务/资料/；/-/参与/公司/财务制度/的/优化/与/流程/改进/。/【/任职/要求/】/-/财务/、/会计/等/相关/专业本科/及/以上学历/；/-/持有/中级/会计师/职称/优先/；/-/3/年/以上/大型/制造型/企业/总账会计/或/相关/岗位/工作/经验/，/熟悉/财务软件/操作/；/-/具备/良好/的/职业/操守/和/责任心/，/工作/细致/严谨/；/-/熟悉/国家/财税/法规/，/具备/较强/的/数据分析/和/沟通/能力/。
25983,深圳市华奥通通信技术有限公司,岗位/要求/：/1/、/年龄/20/-/40/之间/，/有/1/年/以上/焊接/、/质量检验/工作/经验/，/或者/焊接/熟练/焊接/质量/好/；/要求/可以/不/借助/其他/工具/，/只用/烙铁/焊接/0402/电容/电阻/的/熟练程度/。/2/、/具备/一定/的/电子/物料/基本知识/，/对/PCB/板有/一定/了解/；/能够/识别/各类/电子/元器件者/优先/；/3/、/电脑/基本操作/；/会/使用/电烙铁/，/热风枪/4/、/遵守/公司/劳动纪律/、/服从/工作/安排/、/稳定性/好/。/岗位职责/：/1/、/使用/电烙铁/焊接/0402/电子/元器件/，/样板/焊接/，/后/焊/修改/；/2/、/出厂/检验/，/测试/。/请/注意/：/此/岗位/不/包吃/住/。/PS/:/此/岗位/为/公司/质检/部门/一线/岗位/，/正常/缴纳/五险/一金/，/转正/月薪/4500/底薪/+/30/元/每/小时/加班费/，/加班/餐费/20/元/每餐/补贴/，/年底/双薪/和/5/天/带薪/年/假/，/底薪/逐年/递增/，/有/意向/请/直接/到/公司/进行/岗位/焊接/试/操作/，/以/熟练程度/为/录用/标准/。/关注/公众/号/马克/数据网
37748,深圳市恒拓高工业技术股份有限公司,岗位职责/：/1/、/负责/公司/西南地区/3c/行业/大/客户/业务/拓展/，/建立/和/维护/与/客户/的/良好/关系/，/完成/销售/目标/。/2/、/根据/公司/产品/、/价格/及/市场策略/，/独立/处置/询盘/、/报价/、/合同条款/的/协商/及/合同/签订/等/事宜/；/3/、/督促/合同/和/订单/正常/如期/履行/，/并/催收/应收/销售/款项/。/在/执行/合同/过程/中/，/协调/并/监督/公司/各/职能部门/操作/。/4/、/维护/和/开拓/新/的/销售/渠道/和/新/客户/，/自主/开发/及/拓展/上下游/用户/。/5/、/对/客户/在/销售/和/使用/过程/中/出现/的/问题/及/需要/办理/的/手续/及时/联系/有关/部门/协助/解决/。/任职/要求/：/1/、/大专/及/以上学历/，/市场营销/、/机电类/等/专业/优先/；/2/、/3/年/以上/自动化/设备/或/自动化/配件/等/面向/3c/行业/客户/销售/经验/优先/；/3/、/热爱/销售类/工作/，/具有/良好/的/交际/技巧/，/沟通/表达能力/强/；/4/、/有/较/强/的/学习/能力/，/心理/承受能力/强/，/工作/认真负责/，/态度/积极/。/工作/地点/：/视/西南地区/客户/分布/而定/www/./macrodatas/./cn
59945,宁波永新光学股份有限公司,1/、/参与/公司/核心/业务/系统/的/需求/分析/、/架构设计/及/代码/开发/，/确保/系统/高性能/、/高可用性/。/2/、/负责/Java/后端/服务/模块/的/设计/与/开发/，/独立/完成/关键/功能/实现/；/3/、/与/团队/成员/协作/，/共同/解决/项目/中/的/技术难题/；/4/、/参与/项目/的/测试/、/部署/和/上线/工作/；/5/、/优化/现有/系统/代码/，/解决/性能/瓶颈/，/提升/系统/稳定性/和/可扩展性/。/6/、/计算机/或/相关/专业本科/及/以上学历/，/3/~/5/年/以上/java/开发/经验/；/7/、/熟练掌握/java/语言/，/熟悉/JVM原理/、/多线程/、/并发/等/基础知识/；/8/、/熟悉/掌握/SpringBoot/、/SpringCloud/等/主流/Java/框架/；/9/、/熟练/使用/mysql/等/数据库/，/具有/复杂/数据库/设计/和/优化/能力/；/10/、/熟悉/设计模式/、/有/良好/的/编程/习惯/，/注重/代码/质量/和/可维护性/；/11/、/具备/大/数据/相关/组件/使用/经验/优先/，/有/数据/中/台/开发/经验者/优先/；
7830,深圳市科陆电子科技股份有限公司,岗位职责/：/1/./负责/对/供应商/的/来料/异常/进行/处理/；/2/./负责/对/供应商/进行/审核/，/过程/管控/；/3/./负责/性能/实验室/测试/标准/的/建立/。/任职/要求/：/1/./26/届/毕业生/，/本科/及/以上学历/，/机械/及其/自动化/、/电子/信息工程/或者/通信工程/专业/；/2/./责任心/强/，/踏实/肯干/，/认真/细心/，/有/较/好/的/沟通/能力/。
40387,凤凰光学股份有限公司,一/、/岗位/描述/1/、/负责/制订/医疗/新/产品开发/计划/中/涉及/技术/相关/的/资料/2/、/负责/新/产品/试作/问题/点/改善/对策/等/推进/，/确保/新/产品/符合/客户/需求/（/除/光学/硬镜/类外/）/3/、/负责/新/产品/各/阶段/的/试作/良率/验证/工作/，/及/不良/项目/的/原因/分析/改善/工作/（/除/光学/硬镜/类外/）/4/、/负责/新/产品/物料/品质/的/改善/推动/（/除/光学/硬镜/类外/）/5/、/负责/新/产品/加工/条件/的/风险/评估/与/DOE验证/6/、/负责/医疗/机种/导入/按/13485/体系/要求/7/、/负责/推进/新/产品/各/阶段/的/性能/评测/、/及/阶段性/总结报告/8/、/完成/上级/交办/的/其他/任务/二/、/任职/要求/1/、/大专/及/以上学历/；/机械/、/光学/相关/专业/2/、/医疗类/镜头/等/相关/行业/3/年/以上/工作/经验/3/、/熟悉/医疗/镜头/类产品/的/结构/、/工艺流程/，/熟悉/医疗/镜头/产品/常见/品质/、/性能/、/工艺/问题/的/分析方法/及/对策/4/、/良好/的/组织协调/与/沟通/能力/、/人际关系/处理/能力/；/工作/主动/积极/，/有/较/强/的/责任意识/、/团队/协作/意识/，/严谨/细心/，/原则性/强/，/且/能够/承受/较强/的/工作/压力/5/、/熟悉/Office///cad/等/软件
50024,杭州肯德基有限公司,主要/工作/职责/你/将/从事/：/-/对客/服务类/工作/：/满足/顾客/需要/，/给/顾客/带来/完美/用餐/体验/；/-/产品/制作类/工作/：/参与/食品/、/饮料/等/多种产品/的/制作/工作/，/学习/国际/连锁/西餐厅/的/高标准/制作/工艺/。/你/将/得到/：/-/系统/正规/的/培训/，/广阔/的/发展/空间/；/-/“/关爱/成员/的/大家庭/”/企业/文化/-/与/年轻/的/伙伴/快乐/共事/，/感受/充满/激情/的/团队/氛围/-/弹性/安排/工作/时间/-/丰富多彩/的/团队/活动/你/的/发展/空间/服务员/→/楼面/经理/→/餐厅/副/经理/→/餐厅/资深/副/经理/→/餐厅/经理/→/更高/管理/职位/…/…/职位/任职/资格/1/./年龄/满/18/周岁/以上/，/高中/或/同等/以上学历/2/./热情/开朗/，/正直/诚信/，/善于/与/人/沟通/，/有/团队精神/3/./适应/快节奏/、/高效/的/工作/环境/4/./不/限/经验/，/乐于/从事/连锁/餐饮/零售业
86630,海南南山文化旅游开发有限公司,1/、/年龄/40/岁/以内/，/中专/及/以上学历/，/具有/三年/以上/相关/工作/经验/。/2/、/熟练掌握/广告/物料/的/制作/工艺/和/安装/流程/。/3/、/能/独立/完成/制作/到/成品/安装/的/全/流程/或/特定/环节/。/4/、/有/良好/的/沟通/能力/和/较/强/的/动手/能力/，/身体健康/，/且/不/恐高/。/5/、/有/美术专业/或/Photoshop/、/CorelDRAW/等/平面设计/软件/基础者/优先/。
86631,北京市京伦饭店有限责任公司,岗位/内容/：/1/./开拓/新/客户/，/维护/现有/客户/并/与/客户/建立/良好/的/工作/关系/。/2/./了解/客户/需求/，/提供/合适/的/方案/，/并/跟进/项目/实施/，/确保/客户/满意度/和/项目/盈利/。/3/./定期/进行/市场竞争/分析/和/行业/趋势/研究/，/提出/改善/销售策略/的/建议/。/4/./与/内部/协作/团队/合作/，/设计/和/执行/针对/客户/需求/的/会展/方案/。/任职/要求/：/1/./具有/较强/的/沟通/、/谈判/及/销售/能力/，/有/成功/的/商务洽谈/经验/。/2/./具备/相关/领域/的/本科/及/以上学历/，/至少/3/年/相关/工作/经验/。/3/./对/会展/行业/有/深入/的/了解/，/了解/主流/展会/及/市场营销/策略/。/4/./具有/创新/思维/，/注重/团队/协作/，/在/高/压力/环境/下/仍/能/保持/积极/的/行动/力/。
