编号,企业名称,职位描述
90008,中冶生态环保集团有限公司,岗位职责/1/./协助/制定/员工/职业/发展/规划/，/组织/并/实施/培训/、/晋升/及/内部/人才/梯队/建设/相关/活动/。/2/./协助/部门/领导/负责/员工/沟通/与/关怀/工作/，/处理/员工/意见/与/建议/，/促进/和谐/的/劳动/关系/，/提升/员工/满意度/。/3/./负责/劳动合同/的/签订/、/续签/、/变更/及/解除/等/全/流程/管理/，/确保/合法/合规/，/并/建立/合同/台账/。/4/./跟进/新/员工/试用期/考核/，/办理/转正/手续/，/收集/并/归档/相关/材料/，/确保/流程/规范/及时/。/5/./负责/员工/人事档案/更新/、/保管/与/借阅/管理/，/确保/档案/完整/、/准确/并/符合/保密/要求/。/6/./人员/信息/与/数据/统计/：/维护/和/更新/员工/人事/信息/，/定期/进行/人员/结构/、/流动率/等/数据分析/，/报送/人员/信息/相关/报表/。/7/./参与/人力资源/相关/制度/的/落实/与/改进/，/确保/流程/规范/、/高效/。/8/./策划/并/组织/企业/文化/、/团队/建设/等/活动/，/增强/员工/凝聚力/和/归属感/。/9/./完成/上级/交办/的/其他/人力资源/相关/任务/。/任职/要求/1/./本科/及/以上学历/，/人力资源/、/劳动/与/社会保障/、/心理学/等/相关/专业/优先/。/2/./中共党员/（/含/预备党员/）/。/3/./熟悉/人力/资源管理/各/模块/，/尤其/在/员工/发展/、/员工/关系/、/劳动合同/及/转正/管理/、/人事档案/管理/、/数据分析/方面/有/基础理论/与/实践/认知/。/4/./具备/良好/的/沟通/协调/能力/、/分析/能力/和/组织/能力/，/善于/倾听/与/解决问题/。/5/./责任心/强/，/细致/严谨/，/具备/较强/的/学习/能力/和/保密/意识/。/6/./有/学生/干部/经历/或/人力资源/相关/实习/经验者/优先/。/马/克/数/据/网
89758,中铁山桥集团有限公司,工作/职责/1/./主导/海外/铁路/道岔/、/桥梁/钢结构/项目/全/生命周期/管理/，/覆盖/合同/履约/、/生产/进度/调度/、/质量/合规/管控/及/交付/发运/全/流程/，/确保/项目/按/里程碑/节点/推进/。/2/./牵头/对接/海外/业主/与/监理/团队/，/完成/技术/澄清/、/国际标准/（/欧标///美标/）/转化/工作/，/保障/产品设计/、/生产/环节/100%/符合国际/规范/要求/。/3/./统筹/内部/生产/、/技术/、/物流/及/外部/供应商/资源/，/动态/跟踪/项目/关键/路径/，/快速/响应/并/闭环/解决/突发/问题/，/保障/项目/按期/交付/。/4/./提供/海外/项目/售后/技术支持/与/现场/服务/，/配合/客户/完成/产品/安装/调试/、/验收/等/工作/，/维护/长期/稳定/的/客户/合作/关系/。/任职/要求/1/./本科/及/以上学历/，/土木工程/、/机械工程/或/项目管理/相关/专业/，/具备/扎实/的/工程技术/基础/，/熟练掌握/一门/及/以上/外语/（/可/作为/工作/语言/）/。/2/./5/年/以上/工程/领域/工作/经验/，/3/年/及/以上/海外/工程项目/（/驻外/）/管理/经验/，/持有/中级职称/或/相当/技术水平/，/熟悉/铁路/道岔///桥梁/钢结构/的/生产流程/、/质量标准/及/国际/项目/运作/模式/。/3/./精通/欧标/、/美标/等/国际/工程/标准/，/具备/跨文化/沟通/能力/，/能/独立/与/海外/业主/、/监理/开展/技术/对接/与/商务/协调/。/4/./具备/强/资源整合/能力/与/问题/解决/能力/，/能/有效/协调/内外部/资源/应对/项目风险/，/保障/交付/效率/与/质量/。
89870,江苏中核华兴工程检测有限公司,1/、/协助/主任/做好/检测/室/日常/基本/的/管理工作/；/2/、/协助/主任/做好/本/检测/室/日常/开展/的/各项/工作/，/确保/本/检测/室/质量/管理体系/运行/正常/；/3/、/协调/好本/检测/室/检测/人员/正常/开展/检测/工作/；/4/、/协助/主任/对本/检测/室/范围/内/的/试验/方案/、/检测/操作/细则/等/作业/指导书/具体实施/；/5/、/完成/上级领导/指定/的/其他/任务/。/须/有/5/年/以上/专业/从事/检测/工作/管理/经验/，/熟练掌握/相关/检测/标准/、/方法/，/具有/对/检测/工作/质量/的/判断能力/，/取得/公路/水运/工程/试验/检测师/上岗/资格证书/（/交通/工程/、/桥梁/隧道/工程/、/道路/工程/、/水运/材料/专业/）/，/具备/中级职称/。
7190,广东建科施工图审查有限公司,（/macrodatas/./cn/）/1/./岗位职责/：/负责/大型项目/的/暖通设计/工作/，/主导/设计/全过程/，/确保/技术/方案/的/质量/与/可行性/；/熟练掌握/国家/及/地方性/暖通设计/规范/、/政策/、/能够/独立/完成/或/指导/团队/完成/施工图/设计/，/并/应对/施工图/审查/；/协助/解决/项目/实施/过程/中/的/重大/暖通/技术/问题/，/提供/专业/的/技术支持/与/指导/。/2/./任职/要求/：/（/1/）/大学本科/及/以上学历/，/暖通/相关/专业/；/有/获得/省级/或/*/*/*/勘察/设计奖/优先/、/有/在/省级/行业协会/担任/专家/委员者/优先/；/（/2/）/累计/15/年/以上/甲级/设计院/暖通设计/工作/经验/，/提供/5/项及/以上/大型/设计/项目/业绩/证明/；/（/3/）/持有/注册/公用/设备/工程师/（/暖通/空调/）/执业资格/、/暖通/专业/高级/工程师/资格证书/；/（/4/）/熟悉/国家/及/地方性/政策/规范/，/有/施工图/审查/经验者/优先/考虑/；/（/5/）/薪资/：/具体/薪资/面议/。/3/./应聘/方式/有意者/请/将/个人简历/+/职称///注册/证书/扫描/件/，/发送至/招聘/邮箱/，/邮件/主题/命名/为/[/应聘/岗位/-/姓名/-/联系电话/]/。
43115,上海建工七建集团有限公司,岗位职责/：/1/、/项目部/职责/履行/的/首要/责任人/，/主持/项目部/的/日常/工作/，/对/项目/职责/履行/的/绩效/负/全责/；/2/、/主持/编制/施工/组织/设计方案/和/施工/质量/技术/措施/；/3/、/组织/编制/月/、/周/生产/计划/及/与/之/相应/的/设备/资源/，/材料/物资/、/劳动力/及/资金/等/使用/计划/4/、/组织/施工现场/布置/规划/，/解决/工地/一切/协调/问题/；/5/、/负责/与/建立/政府/主管部门/、/建设/单位/、/设计/单位/、/监理/单位/、/总分/包/单位/等/协调/沟通/关系/；/6/、/负责/项目/经济运行/，/关注/成本/信息反馈/，/发现/问题/并/及时/采取措施/；/7/、/参与/编制/、/评审/、/改进/项目/施工/管理/相关/的/管理制度/、/操作/办法/和/技术标准/。/8/、/直属/上级/交办/的/其他/工作/。/任职/要求/：/1/、/有/一级/建造师/、/中高级/工程师者/优先/考虑/。/2/、/大学本科/以上学历/，/项目管理/、/市场营销/、/企业/管理/等/相关/专业/背景/。/3/、/5/年/以上/项目管理/经验/，/有/成功/推进/项目/完成/经验/。/4/、/熟悉/装饰/工程/管理/流程/和/方法/，/具备/良好/的/项目管理/能力/和/团队/合作/意识/。/5/、/具备/良好/的/沟通/能力/和/协调/能力/，/能够/有效/地/与/项目/相关/各方/进行/沟通/和/协调/。/6/、/具备/基本/财务/知识/，/能够/掌握/项目/成本/控制/方法/。/7/、/具有/敏锐/的/风险意识/，/能够/及时发现/并/处理/项目/中/可能/出现/的/风险/。/8/、/愿意/接受/挑战/，/对/项目管理/领域/保持/持续/关注/。/工作/地点/：/为/公司/办公地/或/公司/所/承揽/的/施工/任务/区域/。/薪酬/福利/：/薪酬/面议/。
25676,上海飞力达国际物流有限公司,工作/内容/：/1/、/负责/接听/客户/来电/，/解答/客户/咨询/，/提供/优质/的/客户服务/；/2/、/处理/客户/投诉/与/建议/，/提升/客户/满意度/；/3/、/协助/完成/客户/信息/录入/及/数据/整理/工作/；/4/、/配合/团队/完成/日常/运营/支持/任务/。/任职/要求/：/1/、/大专/学历/以上/，/有/一到/两年/以上/相关/工作/经验/，/有/快递/、/零担/运输/、/电商/物流/经验者/优先/；/2/、/具备/良好/的/沟通/能力/和/客户服务/意识/；/3/、/工作/认真细致/，/责任心/强/，/能/承受/一定/工作/压力/；/4/、/熟练/使用/办公/软件/，/具备/基本/的/电脑操作/能力/。
57996,深圳市港中旅华贸国际物流有限公司,岗位职责/：/1/./航线/的/运营/工作/(/产品/推广///定价///订舱///货物/跟进///异常/处理///收益/等/)/;/2/./航司/货量/目标/的/实施/和/跟进/:/营销/支持/及/项目/客户/投标/跟进/;/3/./航司/互动/及/关系/的/维护/，/包含/协议/签订/、/日常/沟通/、/航司/规则/文件/等/;/4/./配合/航空公司/和/公司财务/完成/结算/相关/工作/;/5/./基本/的/外语/能力/。/5/./以/公司/利益/和/运力/发展/为/基础/，/合理/管控/现有/运力/产品成本/6/./辅助/航线/经理/完成/部门/相关/任务/目标/的/落实/及/完成/上级领导/交办/的/其他/工作/。/任职/要求/：/1/、/本科/及/以上学历/，/国际贸易/、/物流/管理/、/货运/代理/等/相关/专业/优先/；/2/、/1/年/以上/货运/代理///物流/行业/销售/经验/，/熟悉/国际/货运/进出口/相关/操作/流程/优先/；/3/、/具有/一定/的/销售/思维/和/市场/分析/能力/；/4/、/抗压/能力/强/，/善于/沟通/，/具备/客户/敏感度/和/商务谈判/能力/；/5/、/良好/的/客户服务/意识/，/吃苦耐劳/，/能/承受/较大/的/工作/压力/；/*/*/*/福利待遇/：/底薪/+/提成/周末/双休/、/六险/一金/、/带薪/年/假/、/健康/体检/、/节日/福利/、/工会/等/；/*/*/完善/的/培训/机制/，/不定期/专业培训/及/老带/新/带教/模式/，/帮助/快速/融入/公司/；/*/*/较大/的/成长/空间/和/完善/的/职业/发展/路径/；
62297,密尔克卫迈达化工供应链服务有限公司,岗位职责/：/1/./负责/区域/业务/及/客服/组/全面/事务管理/./完成/相关/预算/及/目标/;/2/./持续/落实/公司/制度/./相关/管理/规范/及/战略/要求/./推进/和/提升/团队/服务质量/3/./对接/区域/内/客户/及分/供方/./根据/市场行情/./成本/./客户/需求/等/./持续/优化/运营/成本/;/4/./负责/公司/品牌/及/影响力/在/业务/区/的/落地/推广/。/5/./负责/区域/内/团队/建设/./企业/文化/落地/及/团队/执行力/打造/。/任职/要求/：/1.5/年/以上/运输/\/配送/资源管理/经验/./五年/以上/团队/管理/./有/三方/物流/客服/经理///主管/从业/经历/和/项目/客户服务/经验/./丰富/的/寻源/与/供应商/谈判/经验/;/2/./一线/做起/，/有/大型/化工企业/项目/服务/经验/./有/化工/危险品/物流/管理/经验/优先/;/3/./大专/及/以上学历/./客户/至上/./服务/*/*/*/./积极主动/./阳光/./正向/./规范/./果断/./具备/良好/的/沟通/能力/与/问题/解决/能力/./较强/的/抗压/能力/./良好/的/大局观/。/4/./可/接受/项目/出差/。/。/搜索/马/克/数/据/网
57919,港中旅华贸国际物流股份有限公司,销售/专员/工作/地点/：/广州/、/深圳/、/中山/、/厦门/、/成都/、/重庆/、/长沙/、/贵阳/、/昆明/、/福州/、/泉州/岗位职责/：/1/、/负责/新/客户/开发/（/同行///直客///海外/）/，/拓展/国际/货运/代理/业务/，/完成/公司/制定/的/销售/目标/；/2/、/维护/现有/客户关系/，/定期/拜访/重点/客户/，/了解/客户/需求/并/提供/定制化/物流/解决方案/；/3/、/挖掘/潜在/客户资源/，/通过/行业/展会/、/网络平台/、/社交/媒体/等/渠道/建立/客户/网络/；/4/、/跟踪/国际/货运/市场动态/（/如/运价/、/航线/、/政策/变化/）/，/收集/市场/信息/并/进行/分析/预测/；/5/、/执行/内部/销售/管理/规定/，/包括/但/不/限于/销售/系统/录入/、/合同/签订/、/账款/跟进/、/异常/处理/；/6/、/协助/公司/各项/营销/计划/的/执行/；/7/、/负责/上级/安排/的/其他/工作/。/任职/要求/：/1/、/本科/及/以上学历/，/国际贸易/、/市场营销/、/物流/相关/专业/优先/；/2/、/1/年/以上/货运/代理///物流/行业/销售/经验/，/熟悉/国际/货运/进出口/相关/操作/流程/优先/；/3/、/具有/一定/的/销售/思维/和/市场/分析/能力/；/4/、/抗压/能力/强/，/善于/沟通/，/具备/客户/敏感度/和/商务谈判/能力/；/5/、/良好/的/客户服务/意识/，/吃苦耐劳/，/能/承受/较大/的/工作/压力/；/*/*/*/福利待遇/：/！/！/！/！/底薪/+/提成/周末/双休/、/六险/一金/、/带薪/年/假/、/健康/体检/、/节日/福利/、/工会/等/；/*/*/完善/的/培训/机制/，/不定期/专业培训/及/老带/新/带教/模式/，/帮助/快速/融入/公司/；/*/*/较大/的/成长/空间/和/完善/的/职业/发展/路径/；
43286,安通控股股份有限公司,岗位职责/1/./了解/口岸/市场动态/，/为/客户/进行/船期/宣导/、/报价/、/揽货/、/接舱/、/船舶/配载/等/服务/；/2/./跟进/客户/配载/计划/，/积极/应对/异常/事件/并/负责/跟进/处理/，/做好/客户/全程/服务/工作/；/3/./掌握/系统/操作/流程/，/如/改单/操作/、/集装箱/、/货物/动态/查询/等/，/赋能/工作/技能/提升/；/4/./负责/日常/各类/报表/数据/动态/的/制作/、/整理/和/分析/，/单证/保函/等/文件/收集整理/归档/；/5/./根据/公司/业务/实际/情况/，/协助/其他/同事/处理/业务/相关/事项/及/领导/临时/交办/的/工作/。/任职/要求/1/./本科/及/以上学历/，/物流/管理/、/航运/管理/、/交通运输/等/相关/专业/；/2.1/年/以上/物流/行业/相关/领域/的/工作/经验/，/熟悉/行业/流程/和/标准/；/3/./具备/较强/的/沟通/协调/和/应变能力/，/能够/处理/复杂/的/客户关系/和/问题/；/4/./具备/较强/的/学习/能力/和/适应能力/，/能够/快速/掌握/新/知识/和/技能/。/5/./认同/公司/企业/文化/，/具有/强烈/的/责任心/和/团队/协作/意识/。
30581,佛山维尚家具制造有限公司,任职/要求/：/具备/至少/5/年/以上/的/全屋/定制/家具/开发/经验/，/有/成功/操盘/大型/定制/企业/产品开发/的/经验者/优先/。/专业/能力/：/1/、/对/产品/外观设计/，/风格/定位/，/创新/元素/有/独到/的/理解/和/转化/落地/能力/。/2/、/要/充分/结合/公司/现有/制造/优势/和/信息化/优势/做/产品开发/规划/3/、/开发/具有/市场/竞争力/产品/的/同时/要/兼顾/成本/管控/，/例如/材料/利用率/，/一次/良品率/等/沟通/与/团队/协作/：/具备/良好/的/沟通/能力/和/团队/协作/精神/，/能够/与/不同/部门/有效/合作/，/推动/项目/顺利进行/。/岗位/福利/：/1/、/入职/即/缴纳/五险/一金/，/依托/上市公司/平台/。/2/、/提供/免费/住宿/与/餐补/，/待遇/构成/透明/。/3/、/除/基本/薪资/外/，/设有/季度/奖/与/年终奖/激励/，/工作/执行/大小/周/排班/，/依法/享有/带薪/年/假/，/来自/马/-/克/-/数/-/据
62751,赛诺（浙江）聚氨酯新材料有限公司,岗位职责/1/、/配合/外贸/业务员/进行/客户/情况/搜集/；/2/、/完成/制定/销售/合同/，/订单/的/货款/回收/等/整个/合同/的/执行/工作/；/3/、/协助/部门/同事/进行/商务/合同/的/管理/，/客户/的/接待/；/4/、/上级/安排/的/其他/工作/。/任职/要求/：/1/、/1/-/3/年/外贸/跟单/工作/经验/；/2/、/本科/及/以上学历/，/英语/流利/沟通/优先/；/3/、/强/抗压/，/性格外向/，/语言/沟通/能力/强/，/良好/的/团队/合作/精神/，/执行力/强/、/配合/度高/。
73449,深圳市美之高科技股份有限公司,工作/职责/：/1/、/管理/Amazon/，/Ebay/等/平台/以及/线下/客户/的/订单/信息/发货/需求/;/2/、/管理/海外/仓往/FBA发货/的/需求/，/以及/海外/仓/之间/的/调拨/管理/;/3/、/在/途/发货/管理/，/确保/平台/订单/发货/及时/、/准确性/可/及时/跟进/异常/快递/和/相关/客户/投诉/;/4/、/对接/我司/IT部门/，/对/仓储/管理/的/IT系统/提出/改善/和/跟踪/落地/;/5/、/规划/海外/仓/物流/网络/，/制定/并/优化/物流/交付/解决方案/;/6/、/严格控制/仓储/费用/，/仓内/操作/费用/，/以及/物流/费用/;/对/不合理/的/流程/提出/改善/方案/并/落地/执行/;/7/、/合理/控制/海外/仓内/库存/的/周转/时间/，/对于/呆滞/库存/能够/及时/预警/并/推动/各/相关/部门/清理/消耗/;/8/、/管理/并/指导/海外/仓/团队/成员/的/日常/工作/，/培养/专业化/和/专业化/的/海外/仓/人才/;/9/、/上级/安排/的/其他/事情/。/岗位/要求/：/1/、/大学本科/以上学历/，/具备/英语/的/听说读写/能力/;/2/、/5/年/以上/海外/仓/管理工作/经验/，/熟悉/欧美/海外/仓/运营者/优先/。/熟悉/海外/仓/运作/细节/和/WMS功能/，/能够/制定/合理/有效/低成本/的/海外/仓/解决方案/;/3/、/具有/从/海外/仓/建仓/的/经验/，/包括/仓内/硬件/规划/，/IT系统/规划/，/人员/布局/和/招聘/，/尾程/资源/分析/，/海外/仓/运作/流程/等/;/4/、/清晰/的/逻辑思维/，/能够/灵活/调整/相关/方案/，/思考问题/全面/和/深入/;/具备/高度/的/责任感/和/创新/意识/，/能够/承受/较强/的/工作/压力/;/5/、/高度/的/责任心/和/认真/的/工作/态度/，/良好/的/沟通/协调/能力/，/为人正直/、/踏实/，/有/团队/合作/精神/;/6/、/具备/丰富/的/团队/管理/经验/和/能力/，/拥有/职业化/的/成本/意识/，/风险意识/和/危机意识/。
56649,嘉兴米兰映像家具有限公司,岗位职责/：/1/./根据/品牌/定位/与/营销/策略/，/独立/完成/新老/门店/、/专柜/及展/陈区/的/整体/空间设计/、/动线/规划/与/视觉/方案/，/确保/符合/品牌/标准/。/2/./负责/终端/道具/、/陈列/装置/、/灯光/系统/、/图形/导视/等/细节/设计/，/保障/设计/落地/质量/与/视觉/一致性/。/3/./输出/全套/施工/图纸/（/平面///立面///节点/）/、/效果图/及/物料/清单/，/并/与/供应商/、/施工方/协作/确保/项目/按质/按时/完成/。/4/./结合/新品/上市/及/促销/活动/，/策划/临时性/陈列/与/视觉/更新/方案/，/优化/终端/体验/与/销售/氛围/。/5/./开展/竞品/及/行业/趋势/调研/，/定期/提出/终端/形象/优化/建议/，/持续/推动/品牌/空间/体验/升级/。/任职/要求/：/1/./本科/及/以上学历/，/空间设计/、/环艺/设计/、/展示/设计/、/视觉/传达/或/相关/专业/。/2.3/年/以上/零售/终端/、/商业空间/或/店面/设计/相关/经验/，/有/连锁/品牌/终端/设计/经验者/优先/。/3/./熟练/使用/AutoCAD/、/SketchUp/、/3D/Max/等/设计/及/表现/软件/。/4/./具备/较强/的/空间/感知/、/材料/运用/与/灯光设计/能力/，/了解/施工工艺/与/成本/控制/。/5/./具有/良好/的/审美/、/创意/能力/和/用户/视角/，/能/平衡/品牌/调性/、/功能/需求/与/商业/目标/。/6/./沟通/协调/能力/强/，/接受/出差/，/能/适应/多/项目/并行/，/具备/一定/的/项目管理/经验/。
63132,广州好莱客创意家居股份有限公司,岗位职责/：/一/、/月底/组织/车间/及/仓库/盘点/及/完成/CO月结/；/二/、/成本/基础/数据/的/录入/及/维护/，/定期检查/业务/单据/及/物料/数据/是否/有/异常/并/处理/；/三/、/车间成本/报表/数据/出具/及/分析/；/四/、/负责/公司/采购/付款单/据/的/审核/，/确保/采购/类型/、/费用/归属/及/付款/金额/等/信息/合理/无误/；/五/、/在/SAP系统/中/进行/发票/校验/，/确保/发票/金额/与/入库/数据/相匹配/；/六/、/完成/直接/上级/安排/的/其他/工作/。/任职/要求/：/1/./全日制/本科/以上/财经类/专业/毕业/，/2/年/以上/成本/工作/经验/，/有/SAP使用/经验/优先/；/2/./具有/良好/的/财务/基础/和/会计/知识结构/，/对/会计准则/有/一定/了解/；/3/./具有/良好/的/沟通/表达/及/组织协调/能力/；/4/./具有/较强/的/计划性/及/执行力/，/主动性/及/责任感/强/。
88004,文投控股股份有限公司,岗位职责/：/1/./负责/开展/经营/财务/分析/工作/，/对/公司/经济运行/指标/的/监控/、/分析/，/为/公司/经营/决策/提供/支持/；/2/./负责/对/经营/计划/制定/及/经营/业绩/的/分解/跟踪/，/提高/公司/整体/经营/业绩/管控/水平/；/3/./承担/日常/账务/核算/、/财务/审计/监督/及/多维度/财务/分析/工作/，/通过/精准/核算/、/风险/核查/与/数据/解读/，/为/公司财务/合规/与/经营/优化/提供/保障/。/任职/资格/：/1.985///211/本科/及/以上学历/，/5/年/以上/相关/工作/经验/；/2/./熟悉/国家/会计准则/、/财务管理/、/税法/、/经济法/等/，/具有/中级/会计师/及/以上/职称/；/（/必须/项/）/；/3/./具备/较/高/的/业务/能力/、/工作/责任心/、/沟通/协调/能力/和/团队/合作/精神/，/善于/学习/，/有/创新/意识/。/（/更/多/数据/，/详见/马克/数据网/）
40154,浙江正蓝节能科技股份有限公司,职责/：/1/、/负责/工程项目/的/招标/文件/梳理/和/对接/事项/；/2/、/负责/投标/文件/准备/及/标书/的/制作/；/3/、/负责/设计方案/落实/及/工程预算/；/4/、/负责/项目/决算/和/移交/工作/；/5/、/完成/上级/安排/的/其他/事项/。/要求/：/1/、/统招/本科学历/，/熟练/CAD/，/有/2/年/及/以上/暖通/，/建筑设计/经验/；/2/、/较强/的/责任心/，/抗压/能力/，/现场/沟通/协调/能力/优/；/【/福利/】/1/、/五险/：/入职/即/享受/齐全/的/社会保险/，/包括/养老/、/医疗/、/失业/、/工伤/、/生育/；/2/、/团队/福利/：/全体/一年/2/次/集体/出游/，/享受/轻松/快乐/的/出游/活动/；/3/、/活动/福利/：/公司/设有/活动/基金/，/定期/组织/各类/公司/团建/及/部门/活动/（/旅游/、/聚餐/、/K歌/、/酒吧/、/拓展/等等/）/；/4/、/奖励/福利/：/设有/各类/岗位/绩效/奖励/，/优秀员工/奖励/，/年终/奖励/等/；/5/、/带薪/假日/：/除/国家/法定/的/节/假期/外/，/还/享受/带薪/婚假/、/丧假/、/哺乳/假/、/产假/等等/；/6/、/生日/福利/：/鲜花/、/购物/卡/，/除了/妈妈/记住/你/的/生日/，/更/有/行政/*/*/*/时刻/惦记/哟/~/7/、/其他/福利/太/多/，/高温/、/三节/豪放/节日/礼/，/让/你/惊呆/！/8/、/【/最/重要/一项/】/超长/18/天/带薪/春节/年休假/！/！/！/！/【/最/重要/一项/】/超长/18/天/带薪/春节/年休假/！/！/！/！/【/最/重要/一项/】/超长/18/天/带薪/春节/年休假/！/！/！/！
40152,重庆汇贤优策科技有限公司,国企/上市公司/，/福利待遇/完善/，/工作/稳定/，/福利/多多/！/工作/内容/：/1/、/热水/项目/的/成本/控制/，/提升/项目/收益/2/、/水控/设备/等/相关/设备/及时/巡查/，/发现/问题/及时处理/3/、/项目/内部/所有/设备/的/维护/及/保养/4/、/设备/系统/相关/参数设置/及/调整/5/、/相关/水电/数据/收集/分析/任职/要求/：/1/、/中专/及/以上学历/，/50/岁/以下/2/、/水电/维护/相关/经验/1/年/以上/，/具备/较强/的/电工/专业知识/，/有/电工证/3/、/有/较/强/的/管理/思维/和/运营/思维/4/、/主动性/和/责任心/较强/5/、/主要/负责/南京/理工大学/项目/相关/设备/运营/维护/维保/工作
20190,天津市奥城金逸电影院有限公司,工作/任务/：/1/、/轮岗/制/、/轮班制/，/负责/卖品/销售/、/票务/销售/、/场务/检票/、/巡视/、/散场/等/工作/；/2/、/为/观众/解答/影票/时间/、/票价/、/影城/优惠活动/等/疑问/工作/；/3/、/熟悉/影城/各个/岗位/的/操作/；/4/、/能够/胜任/及/执行/所有/员工级/岗位/的/工作/；/5/、/服从安排/、/完成/上级/去交办/的/事情/。/任职/资格/：/1/、/年满/18/周岁/，/在校/大学生///应届/毕业生/优先/；/2/、/大专/及/以上学历/，/有/良好/的/口头/表达能力/；/3/、/工作/主动/积极/、/乐观/、/乐于助人/；/4/、/忠诚/守信/、/工作/严谨/、/敬业/、/责任心/强/、/具有/团队/合作/精神/；/5/、/在职/社会/人员/需要/提供/社保/参保/证明/、/在校学生/需要/提供/学生证/；/6/、/能/接受/轮班制/、/晚班/工作/。/节假日/能/上班/优先/考虑/。/7/、/表现/优秀者/，/工时/达到/300H/，/取得/毕业证/后/有/机会/晋升为/影城/训练员/。/。/该/数据/由/</马克/数据网/>/整理
18296,南京万达电影城有限公司,工作/职责/1/、/完成/预算/收入/及/利润/指标/，/负责/影城/资产/的/保值/及/增值/；/2/、/负责/团队/培养/，/提高/影院/管理人员/的/管理/技能/和/水平/；/3/、/按照/院线/总部/确定/的/各项/管控/标准/和/业务流程/开展/工作/，/执行/区域/院线/总部/和/区域/影城/制定/的/各项/计划/；/4/、/做/为/影城/安全/生产/*/*/*/责任人/，/建立/预案/，/负责/安防/整改/计划/落实/；/5/、/负责/市场策略/和/重大/活动/的/制订/和/落实/，/总经理/为/排片/、/票价/体系/制订/、/组织/明星/见面会/安排/的/*/*/*/责任人/；/6/、/负责/落实/院线/各项/营运/标准/，/提升/店内/营运/品质/；/7/、/营运/现场/值班/及/值班/管理/。/任职/资格/1/、/统招/大学专科/（/含/）/以上学历/，/工商管理/、/酒店/管理/等/相关/专业/优先/；/2/、/3/年/以上/连锁/服务业/多/门店/管理/管理/职位/，/1/年/以上/高级/管理/岗位/经验/；/3/、/有/丰富/的/现场/管理/经验/和/团队/管理/经验/；/4/、/在/集团/内/所属/各/公司/无/亲属关系/；/5/、/能/适应/综合/工时/制/倒班/，/能/接受/苏皖/两省/地区/外派/。
15860,深圳市前海东江生态环境服务有限公司,岗位职责/：/1/./建立/项目管理/体系/，/根据/公司/各项/管理/要求/持续/优化/。/2/./负责/项目/全/生命周期/统筹/管控/，/推进/项目/立项/、/执行/、/验收/和/资料/归档/相关/工作/。/3/./协调/公司/各/部门/资源/，/解决/项目/实施/过程/中/的/各项/问题/。/4/./负责/项目风险/评估/和/成本/管控/；/5/./负责/团队/管理/与/能力/培养/，/制定/考核/和/激励/方案/，/帮助/员工/提升/专业/和/管理/技能/。/6/./定期/向/公司/管理层/汇报/项目/进度/、/成果/、/存在/问题/和/解决/措施/。/为/公司/决策/提供/合理化/建议/。/7/./完成/上级/交办/的/其他/技术/管理/相关/工作/。/任职/要求/：/1/./本科/及/以上学历/，/机电/、/电气/自动化/、/能源/与/动力工程/等/相关/专业/可/优先/考虑/；/2/./年/以上/项目管理/经验/或/5/年/以上/管理/岗/经验/；/3/./具备/较强/的/风险/识别/、/成本/控制/及/问题/解决/能力/，/能/快速/应对/项目/突发状况/；/4/./具备/优秀/的/数据分析/能力/，/能/通过/项目/数据/洞察/问题/并/提出/优化/方案/；/5/./具备/极强/的/跨部门/沟通/协调/能力/、/谈判/能力/及/团队/领导/能力/，/能/有效/推动/多方/协同/；/6/./具备/强烈/的/责任心/、/结果/导向/思维/，/抗压/能力/强/，/能/适应/多任务/并行/的/工作/节奏/；/7/./能/适应/项目/推进/期/必要/的/加班/要求/。/（/来/自/马/克/数/据/网/）
10922,武汉动力电池再生技术有限公司,岗位职责/：/1/、/负责/动力电池/回收/业务/：/如/新能源/汽车/运营商/（/公交/集团/、/物流/车/、/共享/汽车/）/、/主机厂/、/电池厂/、/PACK厂/、/低速/电动车/厂/等/行业/的/退役/动力电池/的/回收/工作/；/2/、/建立/并/维护/好/所在地/电池厂/、/新能源/汽车/生产/运营/企业/的/合作/关系/，/推动/电池/回收/业务/在/当地/的/落地/；/3/、/负责/跟踪/并/分析/所在区域/电池/回收/、/梯级/电池/应用/及/行业/发展/情况/，/包含/但/不/限于/市场需求/、/用户/痛点/、/商业模式/、/先进/技术/等/，/并/阶段性/形成/分析/报告/；/4/、/完成/上级/交办/的/其他/工作/。/要求/：/英文/可/作为/工作/语言/，/工科/专业/、/学生会/干部/优先/。/要求/：/来自/马克/数据网
